handle,condition,week,feed_average_prop_in_network_posts
faithmaay.bsky.social,engagement,3.0,0.006
faithmaay.bsky.social,engagement,4.0,0.0
faithmaay.bsky.social,engagement,5.0,0.0
faithmaay.bsky.social,engagement,6.0,0.001
faithmaay.bsky.social,engagement,7.0,0.003
faithmaay.bsky.social,engagement,8.0,0.013
faize.bsky.social,engagement,1.0,0.015
faize.bsky.social,engagement,2.0,0.0
faize.bsky.social,engagement,3.0,0.0
faize.bsky.social,engagement,4.0,0.174
faize.bsky.social,engagement,5.0,0.477
faize.bsky.social,engagement,6.0,0.47
faize.bsky.social,engagement,7.0,0.5
faize.bsky.social,engagement,8.0,0.444
faliciashocker482.bsky.social,representative_diversification,1.0,0.0
faliciashocker482.bsky.social,representative_diversification,2.0,0.0
faliciashocker482.bsky.social,representative_diversification,3.0,0.04
faliciashocker482.bsky.social,representative_diversification,4.0,0.159
faliciashocker482.bsky.social,representative_diversification,5.0,0.485
faliciashocker482.bsky.social,representative_diversification,6.0,0.487
faliciashocker482.bsky.social,representative_diversification,7.0,0.5
faliciashocker482.bsky.social,representative_diversification,8.0,0.5
famimatsu.bsky.social,reverse_chronological,1.0,0.006
famimatsu.bsky.social,reverse_chronological,2.0,0.0
famimatsu.bsky.social,reverse_chronological,3.0,0.124
famimatsu.bsky.social,reverse_chronological,4.0,0.48
famimatsu.bsky.social,reverse_chronological,5.0,0.5
famimatsu.bsky.social,reverse_chronological,6.0,0.5
famimatsu.bsky.social,reverse_chronological,7.0,0.5
famimatsu.bsky.social,reverse_chronological,8.0,0.486
fandeci.bsky.social,reverse_chronological,1.0,0.231
fandeci.bsky.social,reverse_chronological,2.0,0.176
fandeci.bsky.social,reverse_chronological,3.0,0.11
fandeci.bsky.social,reverse_chronological,4.0,0.491
fandeci.bsky.social,reverse_chronological,5.0,0.5
fandeci.bsky.social,reverse_chronological,6.0,0.5
fandeci.bsky.social,reverse_chronological,7.0,0.5
fandeci.bsky.social,reverse_chronological,8.0,0.494
farmerli.bsky.social,representative_diversification,1.0,0.0
farmerli.bsky.social,representative_diversification,2.0,0.0
farmerli.bsky.social,representative_diversification,3.0,0.0
farmerli.bsky.social,representative_diversification,4.0,0.005
farmerli.bsky.social,representative_diversification,5.0,0.0
farmerli.bsky.social,representative_diversification,6.0,0.0
farmerli.bsky.social,representative_diversification,7.0,0.002
farmerli.bsky.social,representative_diversification,8.0,0.015
fatjesus.bsky.social,engagement,1.0,0.0
fatjesus.bsky.social,engagement,2.0,0.003
fatjesus.bsky.social,engagement,3.0,0.141
fatjesus.bsky.social,engagement,4.0,0.495
fatjesus.bsky.social,engagement,5.0,0.5
fatjesus.bsky.social,engagement,6.0,0.5
fatjesus.bsky.social,engagement,7.0,0.5
fatjesus.bsky.social,engagement,8.0,0.442
faustinasanders.bsky.social,reverse_chronological,1.0,0.0
faustinasanders.bsky.social,reverse_chronological,2.0,0.0
faustinasanders.bsky.social,reverse_chronological,3.0,0.0
faustinasanders.bsky.social,reverse_chronological,4.0,0.006
faustinasanders.bsky.social,reverse_chronological,5.0,0.0
faustinasanders.bsky.social,reverse_chronological,6.0,0.0
faustinasanders.bsky.social,reverse_chronological,7.0,0.006
faustinasanders.bsky.social,reverse_chronological,8.0,0.003
favourclaudius.bsky.social,representative_diversification,1.0,0.083
favourclaudius.bsky.social,representative_diversification,2.0,0.0
favourclaudius.bsky.social,representative_diversification,3.0,0.032
favourclaudius.bsky.social,representative_diversification,4.0,0.183
favourclaudius.bsky.social,representative_diversification,5.0,0.181
favourclaudius.bsky.social,representative_diversification,6.0,0.17
favourclaudius.bsky.social,representative_diversification,7.0,0.215
favourclaudius.bsky.social,representative_diversification,8.0,0.286
feeeyr.bsky.social,representative_diversification,1.0,0.0
feeeyr.bsky.social,representative_diversification,2.0,0.0
feeeyr.bsky.social,representative_diversification,3.0,0.0
feeeyr.bsky.social,representative_diversification,4.0,0.006
feeeyr.bsky.social,representative_diversification,5.0,0.0
feeeyr.bsky.social,representative_diversification,6.0,0.0
feeeyr.bsky.social,representative_diversification,7.0,0.001
feeeyr.bsky.social,representative_diversification,8.0,0.003
felipedavid1183.bsky.social,reverse_chronological,1.0,0.0
felipedavid1183.bsky.social,reverse_chronological,2.0,0.0
felipedavid1183.bsky.social,reverse_chronological,3.0,0.005
felipedavid1183.bsky.social,reverse_chronological,4.0,0.021
felipedavid1183.bsky.social,reverse_chronological,5.0,0.025
felipedavid1183.bsky.social,reverse_chronological,6.0,0.024
felipedavid1183.bsky.social,reverse_chronological,7.0,0.009
felipedavid1183.bsky.social,reverse_chronological,8.0,0.017
felixnet.bsky.social,representative_diversification,1.0,0.0
felixnet.bsky.social,representative_diversification,2.0,0.0
felixnet.bsky.social,representative_diversification,3.0,0.0
felixnet.bsky.social,representative_diversification,4.0,0.094
felixnet.bsky.social,representative_diversification,5.0,0.33
felixnet.bsky.social,representative_diversification,6.0,0.301
felixnet.bsky.social,representative_diversification,7.0,0.35
felixnet.bsky.social,representative_diversification,8.0,0.448
felixwin823.bsky.social,representative_diversification,1.0,0.0
felixwin823.bsky.social,representative_diversification,2.0,0.0
felixwin823.bsky.social,representative_diversification,3.0,0.013
felixwin823.bsky.social,representative_diversification,4.0,0.098
felixwin823.bsky.social,representative_diversification,5.0,0.087
felixwin823.bsky.social,representative_diversification,6.0,0.089
felixwin823.bsky.social,representative_diversification,7.0,0.068
felixwin823.bsky.social,representative_diversification,8.0,0.046
feltoncc40.bsky.social,representative_diversification,1.0,0.0
feltoncc40.bsky.social,representative_diversification,2.0,0.0
feltoncc40.bsky.social,representative_diversification,3.0,0.0
feltoncc40.bsky.social,representative_diversification,4.0,0.01
feltoncc40.bsky.social,representative_diversification,5.0,0.006
feltoncc40.bsky.social,representative_diversification,6.0,0.016
feltoncc40.bsky.social,representative_diversification,7.0,0.03
feltoncc40.bsky.social,representative_diversification,8.0,0.04
festusgreat.bsky.social,engagement,1.0,0.0
festusgreat.bsky.social,engagement,2.0,0.0
festusgreat.bsky.social,engagement,3.0,0.007
festusgreat.bsky.social,engagement,4.0,0.0
festusgreat.bsky.social,engagement,5.0,0.0
festusgreat.bsky.social,engagement,6.0,0.0
festusgreat.bsky.social,engagement,7.0,0.001
festusgreat.bsky.social,engagement,8.0,0.003
fideliss40.bsky.social,representative_diversification,1.0,0.0
fideliss40.bsky.social,representative_diversification,2.0,0.0
fideliss40.bsky.social,representative_diversification,3.0,0.0
fideliss40.bsky.social,representative_diversification,4.0,0.113
fideliss40.bsky.social,representative_diversification,5.0,0.181
fideliss40.bsky.social,representative_diversification,6.0,0.191
fideliss40.bsky.social,representative_diversification,7.0,0.198
fideliss40.bsky.social,representative_diversification,8.0,0.233
figeroa.bsky.social,representative_diversification,1.0,0.0
figeroa.bsky.social,representative_diversification,2.0,0.0
figeroa.bsky.social,representative_diversification,3.0,0.0
figeroa.bsky.social,representative_diversification,4.0,0.007
figeroa.bsky.social,representative_diversification,5.0,0.002
figeroa.bsky.social,representative_diversification,6.0,0.037
figeroa.bsky.social,representative_diversification,7.0,0.032
figeroa.bsky.social,representative_diversification,8.0,0.056
filishianaaron.bsky.social,representative_diversification,1.0,0.0
filishianaaron.bsky.social,representative_diversification,2.0,0.056
filishianaaron.bsky.social,representative_diversification,3.0,0.252
filishianaaron.bsky.social,representative_diversification,4.0,0.312
filishianaaron.bsky.social,representative_diversification,5.0,0.459
filishianaaron.bsky.social,representative_diversification,6.0,0.5
filishianaaron.bsky.social,representative_diversification,7.0,0.22
filishianaaron.bsky.social,representative_diversification,8.0,0.38
fillinyams.bsky.social,reverse_chronological,1.0,
fillinyams.bsky.social,reverse_chronological,2.0,0.028
fillinyams.bsky.social,reverse_chronological,3.0,0.062
fillinyams.bsky.social,reverse_chronological,4.0,0.274
fillinyams.bsky.social,reverse_chronological,5.0,0.238
fillinyams.bsky.social,reverse_chronological,6.0,0.359
fillinyams.bsky.social,reverse_chronological,7.0,0.486
fillinyams.bsky.social,reverse_chronological,8.0,0.41
finallisten.bsky.social,representative_diversification,1.0,0.0
finallisten.bsky.social,representative_diversification,2.0,0.0
finallisten.bsky.social,representative_diversification,3.0,0.045
finallisten.bsky.social,representative_diversification,4.0,0.199
finallisten.bsky.social,representative_diversification,5.0,0.2
finallisten.bsky.social,representative_diversification,6.0,0.207
finallisten.bsky.social,representative_diversification,7.0,0.24
finallisten.bsky.social,representative_diversification,8.0,0.238
fingolfinz.bsky.social,representative_diversification,1.0,0.034
fingolfinz.bsky.social,representative_diversification,2.0,0.019
fingolfinz.bsky.social,representative_diversification,3.0,0.055
fingolfinz.bsky.social,representative_diversification,4.0,0.099
fingolfinz.bsky.social,representative_diversification,5.0,0.124
fingolfinz.bsky.social,representative_diversification,6.0,0.303
fingolfinz.bsky.social,representative_diversification,7.0,0.321
fingolfinz.bsky.social,representative_diversification,8.0,0.451
finneyd.bsky.social,representative_diversification,1.0,
finneyd.bsky.social,representative_diversification,2.0,0.0
finneyd.bsky.social,representative_diversification,3.0,0.0
finneyd.bsky.social,representative_diversification,4.0,0.006
finneyd.bsky.social,representative_diversification,5.0,0.0
finneyd.bsky.social,representative_diversification,6.0,0.0
finneyd.bsky.social,representative_diversification,7.0,0.001
finneyd.bsky.social,representative_diversification,8.0,0.004
firstman2repent.bsky.social,engagement,1.0,0.055
firstman2repent.bsky.social,engagement,2.0,0.0
firstman2repent.bsky.social,engagement,3.0,0.034
firstman2repent.bsky.social,engagement,4.0,0.188
firstman2repent.bsky.social,engagement,5.0,0.215
firstman2repent.bsky.social,engagement,6.0,0.242
firstman2repent.bsky.social,engagement,7.0,0.272
firstman2repent.bsky.social,engagement,8.0,0.23
flevitan.bsky.social,representative_diversification,1.0,0.0
flevitan.bsky.social,representative_diversification,2.0,0.0
flevitan.bsky.social,representative_diversification,3.0,0.103
flevitan.bsky.social,representative_diversification,4.0,0.492
flevitan.bsky.social,representative_diversification,5.0,0.5
flevitan.bsky.social,representative_diversification,6.0,0.5
flevitan.bsky.social,representative_diversification,7.0,0.5
flevitan.bsky.social,representative_diversification,8.0,0.5
flintgeorge.bsky.social,engagement,1.0,0.0
flintgeorge.bsky.social,engagement,2.0,0.006
flintgeorge.bsky.social,engagement,3.0,0.006
flintgeorge.bsky.social,engagement,4.0,0.012
flintgeorge.bsky.social,engagement,5.0,0.002
flintgeorge.bsky.social,engagement,6.0,0.029
flintgeorge.bsky.social,engagement,7.0,0.006
flintgeorge.bsky.social,engagement,8.0,0.02
florence56.bsky.social,reverse_chronological,1.0,0.014
florence56.bsky.social,reverse_chronological,2.0,0.041
florence56.bsky.social,reverse_chronological,3.0,0.135
florence56.bsky.social,reverse_chronological,4.0,0.12
florence56.bsky.social,reverse_chronological,5.0,0.131
florence56.bsky.social,reverse_chronological,6.0,0.177
florence56.bsky.social,reverse_chronological,7.0,0.403
florence56.bsky.social,reverse_chronological,8.0,0.44
floresriches.bsky.social,reverse_chronological,1.0,0.015
floresriches.bsky.social,reverse_chronological,2.0,0.06
floresriches.bsky.social,reverse_chronological,3.0,0.154
floresriches.bsky.social,reverse_chronological,4.0,0.49
floresriches.bsky.social,reverse_chronological,5.0,0.5
floresriches.bsky.social,reverse_chronological,6.0,0.5
floresriches.bsky.social,reverse_chronological,7.0,0.5
floresriches.bsky.social,reverse_chronological,8.0,0.45
flori-p.bsky.social,engagement,1.0,0.012
flori-p.bsky.social,engagement,2.0,0.0
flori-p.bsky.social,engagement,3.0,0.091
flori-p.bsky.social,engagement,4.0,0.479
flori-p.bsky.social,engagement,5.0,0.5
flori-p.bsky.social,engagement,6.0,0.5
flori-p.bsky.social,engagement,7.0,0.5
flori-p.bsky.social,engagement,8.0,0.48
fluoxetine1.bsky.social,reverse_chronological,1.0,0.0
fluoxetine1.bsky.social,reverse_chronological,2.0,0.0
fluoxetine1.bsky.social,reverse_chronological,3.0,0.0
fluoxetine1.bsky.social,reverse_chronological,4.0,0.006
fluoxetine1.bsky.social,reverse_chronological,5.0,0.0
fluoxetine1.bsky.social,reverse_chronological,6.0,0.0
fluoxetine1.bsky.social,reverse_chronological,7.0,0.006
fluoxetine1.bsky.social,reverse_chronological,8.0,0.0
fmckenna.bsky.social,representative_diversification,1.0,0.087
fmckenna.bsky.social,representative_diversification,2.0,0.153
fmckenna.bsky.social,representative_diversification,3.0,0.161
fmckenna.bsky.social,representative_diversification,4.0,0.5
fmckenna.bsky.social,representative_diversification,5.0,0.496
fmckenna.bsky.social,representative_diversification,6.0,0.5
fmckenna.bsky.social,representative_diversification,7.0,0.5
fmckenna.bsky.social,representative_diversification,8.0,0.5
folash2000.bsky.social,engagement,1.0,0.016
folash2000.bsky.social,engagement,2.0,0.032
folash2000.bsky.social,engagement,3.0,0.114
folash2000.bsky.social,engagement,4.0,0.116
folash2000.bsky.social,engagement,5.0,0.148
folash2000.bsky.social,engagement,6.0,0.212
folash2000.bsky.social,engagement,7.0,0.115
folash2000.bsky.social,engagement,8.0,0.194
foreverland.bsky.social,engagement,1.0,0.0
foreverland.bsky.social,engagement,2.0,0.0
foreverland.bsky.social,engagement,3.0,0.006
foreverland.bsky.social,engagement,4.0,0.0
foreverland.bsky.social,engagement,5.0,0.0
foreverland.bsky.social,engagement,6.0,0.001
foreverland.bsky.social,engagement,7.0,0.002
foreverland.bsky.social,engagement,8.0,0.013
fortunedinho29.bsky.social,engagement,1.0,0.0
fortunedinho29.bsky.social,engagement,2.0,0.0
fortunedinho29.bsky.social,engagement,3.0,0.098
fortunedinho29.bsky.social,engagement,4.0,0.139
fortunedinho29.bsky.social,engagement,5.0,0.149
fortunedinho29.bsky.social,engagement,6.0,0.182
fortunedinho29.bsky.social,engagement,7.0,0.126
fortunedinho29.bsky.social,engagement,8.0,0.179
fowens.bsky.social,engagement,1.0,0.003
fowens.bsky.social,engagement,2.0,0.0
fowens.bsky.social,engagement,3.0,0.011
fowens.bsky.social,engagement,4.0,0.028
fowens.bsky.social,engagement,5.0,0.011
fowens.bsky.social,engagement,6.0,0.008
fowens.bsky.social,engagement,7.0,0.003
fowens.bsky.social,engagement,8.0,0.003
francisdaniel.bsky.social,reverse_chronological,1.0,0.0
francisdaniel.bsky.social,reverse_chronological,2.0,0.0
francisdaniel.bsky.social,reverse_chronological,3.0,0.091
francisdaniel.bsky.social,reverse_chronological,4.0,0.491
francisdaniel.bsky.social,reverse_chronological,5.0,0.499
francisdaniel.bsky.social,reverse_chronological,6.0,0.5
francisdaniel.bsky.social,reverse_chronological,7.0,0.5
francisdaniel.bsky.social,reverse_chronological,8.0,0.442
frank5754.bsky.social,reverse_chronological,1.0,0.0
frank5754.bsky.social,reverse_chronological,2.0,0.0
frank5754.bsky.social,reverse_chronological,3.0,0.0
frank5754.bsky.social,reverse_chronological,4.0,0.007
frank5754.bsky.social,reverse_chronological,5.0,0.0
frank5754.bsky.social,reverse_chronological,6.0,0.0
frank5754.bsky.social,reverse_chronological,7.0,0.006
frank5754.bsky.social,reverse_chronological,8.0,0.003
franklingold.bsky.social,representative_diversification,1.0,0.0
franklingold.bsky.social,representative_diversification,2.0,0.0
franklingold.bsky.social,representative_diversification,3.0,0.006
franklingold.bsky.social,representative_diversification,4.0,0.0
franklingold.bsky.social,representative_diversification,5.0,0.0
franklingold.bsky.social,representative_diversification,6.0,0.001
franklingold.bsky.social,representative_diversification,7.0,0.003
franklingold.bsky.social,representative_diversification,8.0,0.013
fred2050.bsky.social,representative_diversification,1.0,0.0
fred2050.bsky.social,representative_diversification,2.0,0.0
fred2050.bsky.social,representative_diversification,3.0,0.006
fred2050.bsky.social,representative_diversification,4.0,0.0
fred2050.bsky.social,representative_diversification,5.0,0.0
fred2050.bsky.social,representative_diversification,6.0,0.001
fred2050.bsky.social,representative_diversification,7.0,0.003
fred2050.bsky.social,representative_diversification,8.0,0.013
freddie-pope.com,representative_diversification,1.0,0.004
freddie-pope.com,representative_diversification,2.0,0.0
freddie-pope.com,representative_diversification,3.0,0.017
freddie-pope.com,representative_diversification,4.0,0.177
freddie-pope.com,representative_diversification,5.0,0.493
freddie-pope.com,representative_diversification,6.0,0.5
freddie-pope.com,representative_diversification,7.0,0.5
freddie-pope.com,representative_diversification,8.0,0.493
fredhenry683.bsky.social,reverse_chronological,1.0,0.0
fredhenry683.bsky.social,reverse_chronological,2.0,0.0
fredhenry683.bsky.social,reverse_chronological,3.0,0.115
fredhenry683.bsky.social,reverse_chronological,4.0,0.186
fredhenry683.bsky.social,reverse_chronological,5.0,0.182
fredhenry683.bsky.social,reverse_chronological,6.0,0.238
fredhenry683.bsky.social,reverse_chronological,7.0,0.224
fredhenry683.bsky.social,reverse_chronological,8.0,0.263
fredhere.bsky.social,engagement,1.0,0.0
fredhere.bsky.social,engagement,2.0,0.0
fredhere.bsky.social,engagement,3.0,0.0
fredhere.bsky.social,engagement,4.0,0.135
fredhere.bsky.social,engagement,5.0,0.209
fredhere.bsky.social,engagement,6.0,0.173
fredhere.bsky.social,engagement,7.0,0.219
fredhere.bsky.social,engagement,8.0,0.235
fredj321.bsky.social,engagement,1.0,0.003
fredj321.bsky.social,engagement,2.0,0.005
fredj321.bsky.social,engagement,3.0,0.026
fredj321.bsky.social,engagement,4.0,0.075
fredj321.bsky.social,engagement,5.0,0.05
fredj321.bsky.social,engagement,6.0,0.072
fredj321.bsky.social,engagement,7.0,0.083
fredj321.bsky.social,engagement,8.0,0.106
fredlucas2h.bsky.social,engagement,1.0,0.0
fredlucas2h.bsky.social,engagement,2.0,0.0
fredlucas2h.bsky.social,engagement,3.0,0.067
fredlucas2h.bsky.social,engagement,4.0,0.186
fredlucas2h.bsky.social,engagement,5.0,0.162
fredlucas2h.bsky.social,engagement,6.0,0.192
fredlucas2h.bsky.social,engagement,7.0,0.158
fredlucas2h.bsky.social,engagement,8.0,0.189
freed1.bsky.social,engagement,1.0,0.015
freed1.bsky.social,engagement,2.0,0.031
freed1.bsky.social,engagement,3.0,0.136
freed1.bsky.social,engagement,4.0,0.491
freed1.bsky.social,engagement,5.0,0.5
freed1.bsky.social,engagement,6.0,0.5
freed1.bsky.social,engagement,7.0,0.5
freed1.bsky.social,engagement,8.0,0.435
freeer.bsky.social,reverse_chronological,1.0,0.03
freeer.bsky.social,reverse_chronological,2.0,0.037
freeer.bsky.social,reverse_chronological,3.0,0.044
freeer.bsky.social,reverse_chronological,4.0,0.254
freeer.bsky.social,reverse_chronological,5.0,0.308
freeer.bsky.social,reverse_chronological,6.0,0.409
freeer.bsky.social,reverse_chronological,7.0,0.478
freeer.bsky.social,reverse_chronological,8.0,0.424
freemayoh.bsky.social,representative_diversification,1.0,0.0
freemayoh.bsky.social,representative_diversification,2.0,0.0
freemayoh.bsky.social,representative_diversification,3.0,0.019
freemayoh.bsky.social,representative_diversification,4.0,0.039
freemayoh.bsky.social,representative_diversification,5.0,0.046
freemayoh.bsky.social,representative_diversification,6.0,0.03
freemayoh.bsky.social,representative_diversification,7.0,0.057
freemayoh.bsky.social,representative_diversification,8.0,0.032
frk101.bsky.social,representative_diversification,1.0,0.0
frk101.bsky.social,representative_diversification,2.0,0.02
frk101.bsky.social,representative_diversification,3.0,0.05
frk101.bsky.social,representative_diversification,4.0,0.168
frk101.bsky.social,representative_diversification,5.0,0.152
frk101.bsky.social,representative_diversification,6.0,0.161
frk101.bsky.social,representative_diversification,7.0,0.196
frk101.bsky.social,representative_diversification,8.0,0.161
fromtx.bsky.social,reverse_chronological,1.0,0.1
fromtx.bsky.social,reverse_chronological,2.0,0.013
fromtx.bsky.social,reverse_chronological,3.0,0.068
fromtx.bsky.social,reverse_chronological,4.0,0.08
fromtx.bsky.social,reverse_chronological,5.0,0.076
fromtx.bsky.social,reverse_chronological,6.0,0.073
fromtx.bsky.social,reverse_chronological,7.0,0.081
fromtx.bsky.social,reverse_chronological,8.0,0.084
frostl.bsky.social,reverse_chronological,1.0,0.083
frostl.bsky.social,reverse_chronological,2.0,0.009
frostl.bsky.social,reverse_chronological,3.0,0.002
frostl.bsky.social,reverse_chronological,4.0,0.334
frostl.bsky.social,reverse_chronological,5.0,0.487
frostl.bsky.social,reverse_chronological,6.0,0.48
frostl.bsky.social,reverse_chronological,7.0,0.493
frostl.bsky.social,reverse_chronological,8.0,0.386
fuka.bsky.social,representative_diversification,1.0,0.0
fuka.bsky.social,representative_diversification,2.0,0.0
fuka.bsky.social,representative_diversification,3.0,0.0
fuka.bsky.social,representative_diversification,4.0,0.0
fuka.bsky.social,representative_diversification,5.0,0.0
fuka.bsky.social,representative_diversification,6.0,0.0
fuka.bsky.social,representative_diversification,7.0,0.0
fuka.bsky.social,representative_diversification,8.0,0.0
fw2017107.bsky.social,engagement,1.0,0.0
fw2017107.bsky.social,engagement,2.0,0.0
fw2017107.bsky.social,engagement,3.0,0.006
fw2017107.bsky.social,engagement,4.0,0.0
fw2017107.bsky.social,engagement,5.0,0.0
fw2017107.bsky.social,engagement,6.0,0.001
fw2017107.bsky.social,engagement,7.0,0.003
fw2017107.bsky.social,engagement,8.0,0.058
gabbysabr.bsky.social,reverse_chronological,1.0,0.0
gabbysabr.bsky.social,reverse_chronological,2.0,0.0
gabbysabr.bsky.social,reverse_chronological,3.0,0.01
gabbysabr.bsky.social,reverse_chronological,4.0,0.152
gabbysabr.bsky.social,reverse_chronological,5.0,0.24
gabbysabr.bsky.social,reverse_chronological,6.0,0.234
gabbysabr.bsky.social,reverse_chronological,7.0,0.235
gabbysabr.bsky.social,reverse_chronological,8.0,0.33
gabrielbenson314.bsky.social,reverse_chronological,1.0,0.0
gabrielbenson314.bsky.social,reverse_chronological,2.0,0.0
gabrielbenson314.bsky.social,reverse_chronological,3.0,0.049
gabrielbenson314.bsky.social,reverse_chronological,4.0,0.146
gabrielbenson314.bsky.social,reverse_chronological,5.0,0.147
gabrielbenson314.bsky.social,reverse_chronological,6.0,0.17
gabrielbenson314.bsky.social,reverse_chronological,7.0,0.201
gabrielbenson314.bsky.social,reverse_chronological,8.0,0.211
gabrielhill11.bsky.social,engagement,1.0,0.072
gabrielhill11.bsky.social,engagement,2.0,0.138
gabrielhill11.bsky.social,engagement,3.0,0.174
gabrielhill11.bsky.social,engagement,4.0,0.5
gabrielhill11.bsky.social,engagement,5.0,0.492
gabrielhill11.bsky.social,engagement,6.0,0.5
gabrielhill11.bsky.social,engagement,7.0,0.5
gabrielhill11.bsky.social,engagement,8.0,0.5
gabriellepeters.bsky.social,engagement,1.0,0.0
gabriellepeters.bsky.social,engagement,2.0,0.017
gabriellepeters.bsky.social,engagement,3.0,0.086
gabriellepeters.bsky.social,engagement,4.0,0.074
gabriellepeters.bsky.social,engagement,5.0,0.095
gabriellepeters.bsky.social,engagement,6.0,0.102
gabriellepeters.bsky.social,engagement,7.0,0.041
gabriellepeters.bsky.social,engagement,8.0,0.121
gabrielwal26.bsky.social,representative_diversification,1.0,0.01
gabrielwal26.bsky.social,representative_diversification,2.0,0.063
gabrielwal26.bsky.social,representative_diversification,3.0,0.336
gabrielwal26.bsky.social,representative_diversification,4.0,0.48
gabrielwal26.bsky.social,representative_diversification,5.0,0.489
gabrielwal26.bsky.social,representative_diversification,6.0,0.499
gabrielwal26.bsky.social,representative_diversification,7.0,0.365
gabrielwal26.bsky.social,representative_diversification,8.0,0.449
gabrom.bsky.social,representative_diversification,1.0,0.0
gabrom.bsky.social,representative_diversification,2.0,0.018
gabrom.bsky.social,representative_diversification,3.0,0.034
gabrom.bsky.social,representative_diversification,4.0,0.037
gabrom.bsky.social,representative_diversification,5.0,0.03
gabrom.bsky.social,representative_diversification,6.0,0.03
gabrom.bsky.social,representative_diversification,7.0,0.008
gabrom.bsky.social,representative_diversification,8.0,0.0
gabybullus.bsky.social,engagement,1.0,0.0
gabybullus.bsky.social,engagement,2.0,0.0
gabybullus.bsky.social,engagement,3.0,0.0
gabybullus.bsky.social,engagement,4.0,0.005
gabybullus.bsky.social,engagement,5.0,0.0
gabybullus.bsky.social,engagement,6.0,0.0
gabybullus.bsky.social,engagement,7.0,0.0
gabybullus.bsky.social,engagement,8.0,0.001
gakoi11.bsky.social,representative_diversification,1.0,0.04
gakoi11.bsky.social,representative_diversification,2.0,0.012
gakoi11.bsky.social,representative_diversification,3.0,0.071
gakoi11.bsky.social,representative_diversification,4.0,0.062
gakoi11.bsky.social,representative_diversification,5.0,0.067
gakoi11.bsky.social,representative_diversification,6.0,0.103
gakoi11.bsky.social,representative_diversification,7.0,0.09
gakoi11.bsky.social,representative_diversification,8.0,0.109
galwint.bsky.social,representative_diversification,1.0,0.071
galwint.bsky.social,representative_diversification,2.0,0.0
galwint.bsky.social,representative_diversification,3.0,0.009
galwint.bsky.social,representative_diversification,4.0,0.145
galwint.bsky.social,representative_diversification,5.0,0.438
galwint.bsky.social,representative_diversification,6.0,0.412
galwint.bsky.social,representative_diversification,7.0,0.464
galwint.bsky.social,representative_diversification,8.0,0.432
gameralll.bsky.social,reverse_chronological,1.0,0.0
gameralll.bsky.social,reverse_chronological,2.0,0.0
gameralll.bsky.social,reverse_chronological,3.0,0.024
gameralll.bsky.social,reverse_chronological,4.0,0.132
gameralll.bsky.social,reverse_chronological,5.0,0.128
gameralll.bsky.social,reverse_chronological,6.0,0.055
gameralll.bsky.social,reverse_chronological,7.0,0.105
gameralll.bsky.social,reverse_chronological,8.0,0.09
garfield65.bsky.social,engagement,1.0,0.146
garfield65.bsky.social,engagement,2.0,0.064
garfield65.bsky.social,engagement,3.0,0.234
garfield65.bsky.social,engagement,4.0,0.172
garfield65.bsky.social,engagement,5.0,0.171
garfield65.bsky.social,engagement,6.0,0.203
garfield65.bsky.social,engagement,7.0,0.124
garfield65.bsky.social,engagement,8.0,0.199
garlicksauce.bsky.social,reverse_chronological,1.0,0.0
garlicksauce.bsky.social,reverse_chronological,2.0,0.0
garlicksauce.bsky.social,reverse_chronological,3.0,0.0
garlicksauce.bsky.social,reverse_chronological,4.0,0.162
garlicksauce.bsky.social,reverse_chronological,5.0,0.494
garlicksauce.bsky.social,reverse_chronological,6.0,0.5
garlicksauce.bsky.social,reverse_chronological,7.0,0.5
garlicksauce.bsky.social,reverse_chronological,8.0,0.5
garrett.bsky.social,reverse_chronological,1.0,0.0
garrett.bsky.social,reverse_chronological,2.0,0.0
garrett.bsky.social,reverse_chronological,3.0,0.0
garrett.bsky.social,reverse_chronological,4.0,0.159
garrett.bsky.social,reverse_chronological,5.0,0.458
garrett.bsky.social,reverse_chronological,6.0,0.449
garrett.bsky.social,reverse_chronological,7.0,0.497
garrett.bsky.social,reverse_chronological,8.0,0.497
garrymadison1.bsky.social,reverse_chronological,1.0,0.009
garrymadison1.bsky.social,reverse_chronological,2.0,0.0
garrymadison1.bsky.social,reverse_chronological,3.0,0.0
garrymadison1.bsky.social,reverse_chronological,4.0,0.021
garrymadison1.bsky.social,reverse_chronological,5.0,0.036
garrymadison1.bsky.social,reverse_chronological,6.0,0.03
garrymadison1.bsky.social,reverse_chronological,7.0,0.035
garrymadison1.bsky.social,reverse_chronological,8.0,0.05
garryw.bsky.social,reverse_chronological,1.0,0.0
garryw.bsky.social,reverse_chronological,2.0,0.0
garryw.bsky.social,reverse_chronological,3.0,0.003
garryw.bsky.social,reverse_chronological,4.0,0.0
garryw.bsky.social,reverse_chronological,5.0,0.0
garryw.bsky.social,reverse_chronological,6.0,0.006
garryw.bsky.social,reverse_chronological,7.0,0.003
garryw.bsky.social,reverse_chronological,8.0,0.015
garynicholas536.bsky.social,reverse_chronological,1.0,0.012
garynicholas536.bsky.social,reverse_chronological,2.0,0.0
garynicholas536.bsky.social,reverse_chronological,3.0,0.147
garynicholas536.bsky.social,reverse_chronological,4.0,0.266
garynicholas536.bsky.social,reverse_chronological,5.0,0.245
garynicholas536.bsky.social,reverse_chronological,6.0,0.339
garynicholas536.bsky.social,reverse_chronological,7.0,0.315
