,date,avg_prob_intergroup,avg_prob_moral,avg_prob_emotion,avg_prob_other,avg_is_political,avg_is_not_political,avg_is_political_left,avg_is_political_right,avg_is_political_moderate,avg_is_political_unclear,avg_prob_toxic,avg_prob_severe_toxic,avg_prob_identity_attack,avg_prob_insult,avg_prob_profanity,avg_prob_threat,avg_prob_affinity,avg_prob_compassion,avg_prob_constructive,avg_prob_curiosity,avg_prob_nuance,avg_prob_personal_story,avg_prob_reasoning,avg_prob_respect,avg_prob_alienation,avg_prob_fearmongering,avg_prob_generalization,avg_prob_moral_outrage,avg_prob_scapegoating,avg_prob_sexually_explicit,avg_prob_flirtation,avg_prob_spam,source
0,2024-09-28,0.1591611196148189,0.13646195698632288,0.3055387065487475,0.3408844046233006,0.1913564826380215,0.8086435173619785,0.07703740401288085,0.010651473866732722,0.0,0.10156056477582363,0.1300159174316608,0.014606042831992324,0.023553702154946312,0.06902000413775715,0.08293937305499247,0.02332150026364777,0.5438449170910687,0.37155968080381335,0.16613571988731413,0.32162966652282987,0.16478868646590566,0.5248993528906172,0.16613571988731413,0.6077685607977924,0.30047601241144006,0.48579433496399893,0.30608894084435523,0.2868940614475414,0.3810228386161716,0.0447631696309433,0.349241612796287,0.22419057074364274,firehose
0,2024-09-29,0.1544282261821912,0.13029974423901775,0.32117804853318016,0.3490749734713837,0.1701388888888889,0.8298611111111112,0.08304498269896193,0.006920415224913495,0.0,0.07958477508650519,0.1194045243130742,0.01021118151106007,0.019808300825441695,0.05668456520212014,0.07464974750706713,0.027952772597879857,0.5315276296113074,0.34835899429681977,0.14753038039374558,0.32933960863250883,0.15128625916501764,0.5261242867314487,0.14753038039374558,0.6010103671943462,0.2932244205583039,0.4765934911342756,0.28274439344876323,0.2701183789434629,0.3654168346855123,0.03967525291908127,0.34002854579505304,0.19163154082155476,firehose
0,2024-09-30,0.16295800225774296,0.1369806317255315,0.3009002213581962,0.3374948836888286,0.22622510628776013,0.7737748937122398,0.10040160642570281,0.013833110218652387,0.0,0.11021865238732709,0.12695838503414938,0.012622298988062379,0.025381104442151657,0.06907768188711351,0.07949544010688332,0.022295988494877,0.541904128592417,0.3779706422008576,0.1819584357287605,0.33392778794132255,0.17679423021512072,0.520111198902505,0.1819584357287605,0.5985113947183479,0.3007135165337847,0.48508541962356133,0.3168460443743625,0.28916640865682697,0.3859024659470368,0.04107958449288197,0.3478916512074024,0.23529564998930264,firehose
0,2024-10-01,0.16106507486788257,0.13033595904206494,0.30877697959761075,0.3426194650879709,0.2028502122498484,0.7971497877501517,0.07467630231857875,0.011743450767841012,0.0,0.11442336645588679,0.12173646422365132,0.012975387897055775,0.023763677606104847,0.062102857797836024,0.0797943548014325,0.021497687468637606,0.5581227332858885,0.37547750974702837,0.1789565521023091,0.33893415083297773,0.17518845888204818,0.536214588917708,0.1789565521023091,0.6176935163380067,0.28474372480603477,0.4667866473822006,0.2993370375812252,0.27069747301098446,0.36652772661636696,0.043408687182474856,0.35009282370923495,0.24775178614688814,firehose
0,2024-10-02,0.15934381435738443,0.13801823798368482,0.30759565451664966,0.33822315429796035,0.2147108843537415,0.7852891156462585,0.09586148648648649,0.008868243243243243,0.0,0.1085304054054054,0.12425925141186037,0.013497318726848444,0.022717222961996596,0.06359896196790124,0.07993391676309067,0.020619229840911028,0.5389790048054492,0.36529644413154533,0.17792605528546734,0.34086830549957425,0.1742883231783312,0.5220449872256279,0.17792605528546734,0.6058700816841209,0.2951784370962963,0.46031708934048526,0.304039500109834,0.27645999047147296,0.3728953646012005,0.04216485895117071,0.3541993349255002,0.23975909076006816,firehose
0,2024-10-03,0.16219316230477318,0.13969187849359604,0.2998798549229746,0.33488589785924994,0.2370721048798252,0.7629278951201748,0.10404624277456648,0.020953757225433526,0.0,0.10982658959537572,0.13174125412962964,0.0135708197781772,0.02547768363311547,0.07174612184633261,0.08065515303649237,0.021779310262273057,0.5408871767432825,0.3670304826525055,0.18059085272165787,0.33938109580384895,0.17894967185718957,0.5128791308503995,0.18059085272165787,0.5922296154434205,0.31270738501452433,0.4780251117398693,0.3238085718308642,0.2926311002343137,0.3892534461499637,0.042990926528140884,0.34544898864197526,0.2264449997136565,firehose
0,2024-10-04,0.16661670230707099,0.1382186736791662,0.30478410537142564,0.33068480060924543,0.23774509803921567,0.7622549019607843,0.10256410256410256,0.01098901098901099,0.0,0.12332112332112333,0.12617195163638614,0.011393972829814357,0.02554727389477723,0.06892651790482673,0.0761091290884901,0.023437880469801983,0.5246311092475248,0.3553513293712871,0.1727224071944307,0.3457419799975247,0.1761884765108911,0.4990982113972772,0.1727224071944307,0.5825224037537129,0.31887341540594055,0.4952021683378713,0.3355626272660891,0.2975743233700495,0.40911088109282173,0.03837284844344059,0.3431767704579208,0.23200611996509904,firehose
0,2024-10-05,0.14822800567240588,0.1532354325255645,0.33020717794785187,0.3150396678330643,0.16909620991253643,0.8309037900874636,0.055232558139534885,0.00872093023255814,0.0,0.10465116279069768,0.1405454590577381,0.014653508611934525,0.025165099261309526,0.07538218723511905,0.0863805207172619,0.02638689234791667,0.5586007716011905,0.3809723492529762,0.12933991356130953,0.35212217579761906,0.1484119489452381,0.5094148033125,0.12933991356130953,0.5991601506041666,0.32755118324404764,0.5227842884255952,0.32334911695684526,0.3198464909761905,0.4205000255416666,0.041471891265476186,0.35604357544642856,0.1886529953660714,firehose
0,2024-10-06,0.16298306675589813,0.13956997069169064,0.3166387199747319,0.33176671520483736,0.1746031746031746,0.8253968253968254,0.07936507936507936,0.007936507936507936,0.0,0.0873015873015873,0.12589216579142856,0.010664520821183673,0.025009693030122446,0.06850709075918368,0.08051632068571427,0.021021827859183672,0.5523817363836735,0.3617091825020408,0.12636053700520408,0.343969116232653,0.1473214331073469,0.5007738147387756,0.12636053700520408,0.6110695782244898,0.320428975755102,0.5064179402734693,0.3113485373346938,0.3019306822489796,0.3980795139591837,0.03269825057387755,0.3601035913061225,0.18603520548122449,firehose
0,2024-10-07,0.18537603501303523,0.13867092293267155,0.3074940895917369,0.3420005483078022,0.1346153846153846,0.8653846153846154,0.019230769230769232,0.0,0.0,0.11538461538461539,0.06337726839019607,0.00428444879372549,0.01636146119764706,0.024539924217647054,0.03875746055882353,0.017974161315686275,0.6029406704705882,0.42088697911764705,0.14550761088196076,0.40000676419607845,0.16911175826078434,0.5526164969607844,0.14550761088196076,0.6530954368627452,0.2537384142352941,0.48275102368627454,0.23778527900000002,0.2603062347843137,0.3421663948627451,0.03299260345882353,0.3749115731372549,0.21951873447058826,firehose
