handle,condition,week,baseline_average_toxic,baseline_average_constructive,baseline_average_severe_toxic,baseline_average_identity_attack,baseline_average_insult,baseline_average_profanity,baseline_average_threat,baseline_average_affinity,baseline_average_compassion,baseline_average_curiosity,baseline_average_nuance,baseline_average_personal_story,baseline_average_reasoning,baseline_average_respect,baseline_average_alienation,baseline_average_fearmongering,baseline_average_generalization,baseline_average_moral_outrage,baseline_average_scapegoating,baseline_average_sexually_explicit,baseline_average_flirtation,baseline_average_spam,baseline_average_intergroup,baseline_average_moral,baseline_average_emotion,baseline_average_other,baseline_average_valence_clf_score,baseline_average_is_valence_positive,baseline_average_is_valence_negative,baseline_average_is_valence_neutral,baseline_average_is_sociopolitical,baseline_average_is_not_sociopolitical,baseline_average_is_political_left,baseline_average_is_political_right,baseline_average_is_political_moderate,baseline_average_is_political_unclear,baseline_proportion_toxic,baseline_proportion_constructive,baseline_proportion_severe_toxic,baseline_proportion_identity_attack,baseline_proportion_insult,baseline_proportion_profanity,baseline_proportion_threat,baseline_proportion_affinity,baseline_proportion_compassion,baseline_proportion_curiosity,baseline_proportion_nuance,baseline_proportion_personal_story,baseline_proportion_reasoning,baseline_proportion_respect,baseline_proportion_alienation,baseline_proportion_fearmongering,baseline_proportion_generalization,baseline_proportion_moral_outrage,baseline_proportion_scapegoating,baseline_proportion_sexually_explicit,baseline_proportion_flirtation,baseline_proportion_spam,baseline_proportion_intergroup,baseline_proportion_moral,baseline_proportion_emotion,baseline_proportion_other,baseline_proportion_valence_clf_score,baseline_proportion_is_valence_positive,baseline_proportion_is_valence_negative,baseline_proportion_is_valence_neutral,baseline_proportion_is_sociopolitical,baseline_proportion_is_not_sociopolitical,baseline_proportion_is_political_left,baseline_proportion_is_political_right,baseline_proportion_is_political_moderate,baseline_proportion_is_political_unclear
baseline,baseline,1,0.135,0.177,0.015,0.029,0.075,0.083,0.024,0.52,0.354,0.329,0.173,0.495,0.177,0.576,0.328,0.513,0.341,0.311,0.418,0.042,0.355,0.237,0.169,0.143,0.294,0.331,0.099,0.436,0.275,0.288,0.262,0.738,0.408,0.074,0.0,0.519,0.067,0.087,0.001,0.004,0.034,0.052,0.004,0.54,0.254,0.238,0.057,0.505,0.087,0.691,0.201,0.55,0.24,0.158,0.369,0.007,0.135,0.179,0.006,0.01,0.065,0.132,,0.436,0.275,0.288,0.262,0.738,0.408,0.074,0.0,0.519
baseline,baseline,2,0.139,0.186,0.016,0.029,0.078,0.086,0.023,0.517,0.353,0.329,0.177,0.494,0.186,0.571,0.329,0.506,0.346,0.311,0.419,0.043,0.354,0.246,0.168,0.141,0.292,0.335,0.094,0.438,0.288,0.275,0.247,0.753,0.44,0.075,0.0,0.485,0.07,0.1,0.002,0.006,0.037,0.055,0.005,0.53,0.252,0.233,0.06,0.502,0.1,0.684,0.214,0.539,0.256,0.169,0.368,0.007,0.127,0.188,0.007,0.013,0.062,0.143,,0.438,0.288,0.275,0.247,0.753,0.44,0.075,0.0,0.485
baseline,baseline,3,0.131,0.174,0.015,0.026,0.069,0.085,0.023,0.545,0.363,0.34,0.17,0.522,0.174,0.602,0.3,0.477,0.308,0.28,0.378,0.046,0.352,0.242,0.163,0.134,0.303,0.343,0.143,0.474,0.246,0.279,0.213,0.787,0.407,0.061,0.0,0.532,0.065,0.087,0.001,0.004,0.027,0.053,0.005,0.583,0.267,0.254,0.056,0.554,0.087,0.741,0.163,0.492,0.199,0.123,0.306,0.01,0.132,0.182,0.006,0.009,0.076,0.158,,0.474,0.246,0.279,0.213,0.787,0.407,0.061,0.0,0.532
baseline,baseline,4,0.131,0.175,0.015,0.025,0.068,0.085,0.023,0.553,0.367,0.342,0.171,0.527,0.175,0.606,0.298,0.475,0.309,0.28,0.377,0.046,0.352,0.242,0.162,0.134,0.305,0.343,0.151,0.483,0.244,0.272,0.217,0.783,0.436,0.06,0.0,0.504,0.065,0.089,0.001,0.004,0.027,0.054,0.005,0.598,0.273,0.256,0.057,0.563,0.089,0.747,0.161,0.489,0.203,0.126,0.307,0.01,0.134,0.182,0.006,0.009,0.08,0.158,,0.483,0.244,0.272,0.217,0.783,0.436,0.06,0.0,0.504
baseline,baseline,5,0.132,0.177,0.015,0.026,0.07,0.085,0.023,0.545,0.362,0.337,0.17,0.521,0.177,0.6,0.301,0.479,0.315,0.282,0.382,0.045,0.352,0.243,0.16,0.134,0.308,0.342,0.14,0.473,0.248,0.279,0.237,0.763,0.447,0.064,0.0,0.49,0.067,0.089,0.001,0.004,0.029,0.054,0.005,0.583,0.266,0.249,0.056,0.551,0.089,0.738,0.167,0.494,0.21,0.13,0.312,0.009,0.129,0.184,0.006,0.009,0.084,0.156,,0.473,0.248,0.279,0.237,0.763,0.447,0.064,0.0,0.49
baseline,baseline,6,0.128,0.181,0.015,0.026,0.068,0.083,0.022,0.559,0.373,0.337,0.166,0.523,0.181,0.604,0.302,0.482,0.326,0.279,0.386,0.044,0.349,0.252,0.159,0.136,0.311,0.336,0.138,0.471,0.249,0.28,0.273,0.727,0.453,0.067,0.0,0.48,0.066,0.09,0.001,0.004,0.029,0.054,0.005,0.605,0.285,0.251,0.051,0.556,0.09,0.742,0.173,0.497,0.23,0.133,0.319,0.008,0.123,0.197,0.006,0.01,0.088,0.151,,0.471,0.249,0.28,0.273,0.727,0.453,0.067,0.0,0.48
baseline,baseline,7,0.115,0.172,0.012,0.021,0.06,0.074,0.02,0.566,0.372,0.345,0.164,0.53,0.172,0.625,0.283,0.465,0.292,0.265,0.363,0.041,0.351,0.263,0.158,0.132,0.313,0.344,0.17,0.492,0.224,0.283,0.205,0.795,0.43,0.074,0.0,0.496,0.053,0.084,0.001,0.003,0.023,0.043,0.004,0.618,0.282,0.264,0.051,0.573,0.084,0.776,0.142,0.471,0.182,0.108,0.282,0.008,0.129,0.207,0.005,0.009,0.093,0.159,,0.492,0.224,0.283,0.205,0.795,0.43,0.074,0.0,0.496
baseline,baseline,8,0.126,0.192,0.013,0.027,0.072,0.073,0.021,0.537,0.362,0.332,0.175,0.493,0.192,0.585,0.326,0.502,0.345,0.306,0.415,0.042,0.354,0.268,0.167,0.141,0.292,0.337,0.126,0.468,0.268,0.264,0.327,0.673,0.476,0.075,0.0,0.448,0.059,0.1,0.001,0.004,0.033,0.041,0.003,0.568,0.272,0.246,0.058,0.509,0.1,0.698,0.215,0.529,0.261,0.178,0.364,0.008,0.12,0.216,0.005,0.009,0.07,0.141,,0.468,0.268,0.264,0.327,0.673,0.476,0.075,0.0,0.448
baseline,baseline,9,0.118,0.178,0.013,0.022,0.062,0.075,0.02,0.561,0.376,0.343,0.17,0.528,0.178,0.622,0.284,0.468,0.298,0.271,0.367,0.042,0.352,0.26,0.162,0.132,0.306,0.345,0.17,0.497,0.231,0.272,0.201,0.799,0.437,0.066,0.0,0.497,0.055,0.091,0.001,0.004,0.024,0.044,0.004,0.611,0.289,0.259,0.058,0.568,0.091,0.77,0.145,0.478,0.188,0.115,0.288,0.009,0.132,0.205,0.005,0.009,0.084,0.16,,0.497,0.231,0.272,0.201,0.799,0.437,0.066,0.0,0.497
